Name,Variables,,,,,,,,,,,,,,,,,,,,,,,,,,
AcademyAwards,FilmTitle,PreviousAwards,Nominations,ActorFilms,ActressFilms,Length,Budget,PctPositiveReviews,OscarsWon,BestPicture,OpenGross,Gross,,,,,,,,,,,,,,,
AlcoholResponse,Response,Treatment,,,,,,,,,,,,,,,,,,,,,,,,,
AlcoholResponse2,Placebo,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,,
Alfalfa,Ht4,Acid,Row,,,,,,,,,,,,,,,,,,,,,,,,
ArcheryData,attendance,average,sex,day1,last_day,improvement,improve,,,,,,,,,,,,,,,,,,,,
AutoPollution,Noise,Size,Type,Side,,,,,,,,,,,,,,,,,,,,,,,
Backpack,BackpackWeight,BodyWeight,Ratio,BackProblems,Major,Year,Sex,Status,Units,,,,,,,,,,,,,,,,,,
BaseballTimes,Game,League,Runs,Margin,Pitchers,Attendance,Time,,,,,,,,,,,,,,,,,,,,
BeeStings,Occasion,Treatment,Stingers,,,,,,,,,,,,,,,,,,,,,,,,
BirdNest,Species,Common,Page,Length,Nesttype,Location,No.eggs,Color,Incubate,Nestling,Totcare,Closed?,,,,,,,,,,,,,,,
Blood1,SystolicBP,Smoke,Overwt,,,,,,,,,,,,,,,,,,,,,,,,
Bluebirds,Treatment,Weight,WingLength,,,,,,,,,,,,,,,,,,,,,,,,
BlueJays,BirdID,KnownSex,BillDepth,BillWidth,BillLength,Head,Mass,Skull,Sex,,,,,,,,,,,,,,,,,,
BritishUnions,Date,AgreePct,DisagreePct,NetSupport,Months,Late,Unemployment,,,,,,,,,,,,,,,,,,,,
CAFE,Senator,State,Party,Contribution,LogContr,Dem,Vote,,,,,,,,,,,,,,,,,,,,
CalciumBP,Treatment,Decrease,,,,,,,,,,,,,,,,,,,,,,,,,
CancerSurvival,Survival,Organ,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillars,Instar,ActiveFeeding,Fgp,Mgp,Mass,LogMass,Intake,LogIntake,WetFrass,LogWetFrass,DryFrass,LogDryFrass,Cassim,LogCassim,Nfrass,LogNfrass,Nassim,LogNassim,,,,,,,,,
Cereal,Cereal,Calories,Sugar,Fiber,,,,,,,,,,,,,,,,,,,,,,,
ChemoTHC,Drug,Effective,NotEffective,Patients,,,,,,,,,,,,,,,,,,,,,,,
ChildSpeaks,Child,Age,Gesell,,,,,,,,,,,,,,,,,,,,,,,,
Clothing,ID,Amount,Recency,Freq12,Dollar12,Freq24,Dollar24,Card,,,,,,,,,,,,,,,,,,,
CloudSeeding,Seeded,Season,TE,TW,NC,SC,NWC,,,,,,,,,,,,,,,,,,,,
CloudSeeding2,Period,Seeded,Season,TE,TW,NC,SC,NWC,,,,,,,,,,,,,,,,,,,
CO2,CO2,day,,,,,,,,,,,,,,,,,,,,,,,,,
CrackerFiber,Subj,Fiber,Calories,,,,,,,,,,,,,,,,,,,,,,,,
Cuckoo,Bird,Length,,,,,,,,,,,,,,,,,,,,,,,,,
Day1Survey,Section,Class,Sex,Distance,Height,Handedness,Coins,WhiteString,BlackString,Reading,TV,Pulse,Texting,,,,,,,,,,,,,,
Diamonds,Carat,Color,Clarity,Depth,PricePerCt,TotalPrice,,,,,,,,,,,,,,,,,,,,,
Diamonds2,Carat,Color,Clarity,Depth,PricePerCt,TotalPrice,,,,,,,,,,,,,,,,,,,,,
Election08,State,Abr,Income,HS,BA,Dem.Rep,ObamaWin,,,,,,,,,,,,,,,,,,,,
Ethanol,Sugar,O2Conc,Ethanol,,,,,,,,,,,,,,,,,,,,,,,,
FantasyBaseball,Round,Time,Person,,,,,,,,,,,,,,,,,,,,,,,,
Fertility,Age,LowAFC,MeanAFC,FSH,E2,MaxE2,MaxDailyGn,TotalGn,Oocytes,Embryos,,,,,,,,,,,,,,,,,
FGByDistance,Row,Dist,N,Makes,PropMakes,Blocked,PropBlocked,,,,,,,,,,,,,,,,,,,,
Film,Title,Year,Time,Cast,Rating,Description,Origin,Time_code,Good,,,,,,,,,,,,,,,,,,
FinalFourIzzo,Year,Seed,Final4,Izzo,,,,,,,,,,,,,,,,,,,,,,,
FinalFourLong,Year,Seed,Final4,,,,,,,,,,,,,,,,,,,,,,,,
FinalFourShort,Year,Seed,In,Out,,,,,,,,,,,,,,,,,,,,,,,
Fingers,Subject,Drug,TapRate,,,,,,,,,,,,,,,,,,,,,,,,
FirstYearGPA,GPA,HSGPA,SATV,SATM,Male,HU,SS,FirstGen,White,CollegeBound,,,,,,,,,,,,,,,,,
FishEggs,Age,PctDM,Month,Sept,,,,,,,,,,,,,,,,,,,,,,,
FlightResponse,FlockID,Altitude,Lateral,Flight,Alt*Lat,AltCat,LatCat,,,,,,,,,,,,,,,,,,,,
