player,time,activity,day,order,rate
1,1,1,1,2,98
1,1,1,2,1,94
1,1,1,3,3,98
1,1,2,1,1,84
1,1,2,2,2,84
1,1,2,3,1,84
1,1,3,1,3,112
1,1,3,2,3,118
1,1,3,3,2,114
1,2,1,1,2,92
1,2,1,2,1,88
1,2,1,3,3,90
1,2,2,1,1,78
1,2,2,2,2,84
1,2,2,3,2,82
1,2,3,1,3,114
1,2,3,2,3,112
1,2,3,3,1,114
2,1,1,1,3,100
2,1,1,2,2,106
2,1,1,3,1,104
2,1,2,1,1,94
2,1,2,2,1,94
2,1,2,3,3,96
2,1,3,1,2,114
2,1,3,2,3,116
2,1,3,3,2,116
2,2,1,1,1,102
2,2,1,2,3,100
2,2,1,3,1,100
2,2,2,1,2,94
2,2,2,2,2,96
2,2,2,3,3,94
2,2,3,1,3,116
2,2,3,2,1,114
2,2,3,3,2,118
3,1,1,1,2,128
3,1,1,2,3,128
3,1,1,3,1,122
3,1,2,1,1,124
3,1,2,2,1,122
3,1,2,3,3,124
3,1,3,1,3,144
3,1,3,2,2,142
3,1,3,3,2,140
3,2,1,1,3,128
3,2,1,2,2,128
3,2,1,3,2,128
3,2,2,1,1,126
3,2,2,2,3,126
3,2,2,3,3,120
3,2,3,1,2,146
3,2,3,2,1,146
3,2,3,3,1,142
4,1,1,1,3,96
4,1,1,2,2,98
4,1,1,3,3,98
4,1,2,1,1,70
4,1,2,2,3,70
4,1,2,3,2,70
4,1,3,1,2,104
4,1,3,2,1,100
4,1,3,3,1,106
4,2,1,1,1,100
4,2,1,2,1,102
4,2,1,3,1,104
4,2,2,1,3,68
4,2,2,2,2,72
4,2,2,3,3,70
4,2,3,1,2,104
4,2,3,2,3,104
4,2,3,3,2,104
5,1,1,1,2,110
5,1,1,2,1,112
5,1,1,3,3,112
5,1,2,1,3,106
5,1,2,2,2,106
5,1,2,3,1,102
5,1,3,1,1,122
5,1,3,2,3,120
5,1,3,3,2,122
5,2,1,1,2,110
5,2,1,2,1,108
5,2,1,3,2,112
5,2,2,1,3,104
5,2,2,2,3,106
5,2,2,3,1,104
5,2,3,1,1,118
5,2,3,2,2,122
5,2,3,3,3,122
