Name,Age,Survive,sex,Sex,Status,Hired
Breen_Edward_,13,1,Male,1,Family,0
Breen_Margaret_Isabella,1,1,Female,0,Family,0
Breen_James_Frederick,5,1,Male,1,Family,0
Breen_John,14,1,Male,1,Family,0
Breen_Margaret_Bulger,40,1,Female,0,Family,0
Breen_Patrick,51,1,Male,1,Family,0
Breen_Patrick_Jr.,8,1,Male,1,Family,0
Breen_Peter,3,1,Male,1,Family,0
Breen_Simon_Preston,8,1,Male,1,Family,0
Donner_Elitha_Cumi,13,1,Female,0,Family,0
Donner_Eliza_Poor,3,1,Female,0,Family,0
Donner_Elizabeth,45,0,Female,0,Family,0
Donner_Frances_Eustis,6,1,Female,0,Family,0
Donner_George,61,0,Male,1,Family,0
Donner_George_Jr.,9,1,Male,1,Family,0
Donner_Georgia_Ann,4,1,Female,0,Family,0
Donner_Isaac,5,0,Male,1,Family,0
Donner_Jacob,56,0,Male,1,Family,0
Donner_Leanna_Charita,11,1,Female,0,Family,0
Donner_Lewis,3,0,Male,1,Family,0
Donner_Mary,7,1,Female,0,Family,0
Donner_Samuel,4,0,Male,1,Family,0
Donner_Tamzene,44,0,Female,0,Family,0
Eddy_Eleanor_Priscilla,25,0,Female,0,Family,0
Eddy_James,3,0,Male,1,Family,0
Eddy_Margaret,1,0,Female,0,Family,0
Eddy_William_Henry,28,1,Male,1,Family,0
Elliott_Milford,28,0,Male,1,Hired,1
Fosdick_Jay,23,0,Male,1,Family,0
Graves_Sarah,21,1,Female,0,Family,0
Foster_Jeremiah_George,3,0,Male,1,Family,0
Foster_Sarah_Ann_Charlotte_Murphy,19,1,Female,0,Family,0
Foster_William_McFadden,28,1,Male,1,Family,0
Graves_Eleanor,14,1,Female,0,Family,0
Graves_Elizabeth_Cooper,45,0,Female,0,Family,0
Graves_Elizabeth,1,1,Female,0,Family,0
Graves_Franklin_Ward,57,0,Male,1,Family,0
Graves_Franklin_Ward_Jr.,5,0,Male,1,Family,0
Graves_Jonathan_B,7,1,Male,1,Family,0
Graves_Lovina,12,1,Female,0,Family,0
Graves_Mary,19,1,Female,0,Family,0
Graves_Nancy_Blaisdell,8,1,Female,0,Family,0
Graves_William_Cooper,17,1,Male,1,Family,0
Hardcoop_Mr,60,0,Male,1,Hired,1
Herron_Walter,27,1,Male,1,Hired,1
Hook_Solomon_Elijah,14,1,Male,1,Hired,1
Hook_William_Jr.,12,0,Male,1,Hired,1
James_Noah,16,1,Male,1,Hired,1
Keseberg_Ada,3,0,Female,0,Family,0
Keseberg_Elisabeth_Philippine,23,1,Female,0,Family,0
Keseberg_Johann_Ludwig_Christian,32,1,Male,1,Family,0
Keseberg_Louis_Jr.,1,0,Male,1,Family,0
Keyes_Sarah,70,0,Female,0,Family,0
McCutchen_Amanda_Henderson,23,1,Female,0,Family,0
McCutchen_Harriet_,1,0,Female,0,Family,0
McCutchen_William,30,1,Male,1,Family,0
Miller_Hiram_Owens,29,1,Male,1,Hired,0
Murphy_John_Landrum,16,0,Male,1,Family,0
Murphy_Lemuel,12,0,Male,1,Family,0
Murphy_Levinah_Jackson,36,0,Female,0,Family,0
Murphy_Meriam_Mary,14,1,Female,0,Family,0
Murphy_Simon_Peter,8,1,Male,1,Family,0
Murphy_William_Green,10,1,Male,1,Family,0
Pike_Catherine,1,0,Female,0,Family,0
Pike_Harriet_Frances_Murphy,18,1,Female,0,Family,0
Pike_Naomi_Levina,2,1,Female,0,Family,0
Pike_William_Montgomery,32,0,Male,1,Family,0
Reed_James_Frazier,45,1,Male,1,Family,0
Reed_James_Frazier_Jr.,5,1,Male,1,Family,0
Reed_Margret,32,1,Female,0,Family,0
Reed_Martha,8,1,Female,0,Family,0
Reed_Thomas,3,1,Male,1,Family,0
Reed_Virginia_Elizabeth_Backenstoe,13,1,Female,0,Family,0
Wolfinger_Doris,20,1,Female,0,Family,0
Burger_Charles,30,0,Male,1,Hired,1
Denton_John,28,0,Male,1,Hired,1
Shoemaker_Samuel,25,0,Male,1,Hired,1
Smith_James,25,0,Male,1,Hired,1
Snyder_John,25,0,Male,1,Hired,1
Trudeau_Jean_Baptiste,16,1,Male,1,Hired,1
Williams_Baylis,25,0,Male,1,Hired,1
Williams_Eliza,31,1,Female,0,Hired,1
Antonio,23,0,Male,1,Hired,0
Dolan_Patrick,35,0,Male,1,Single,0
Halloran_Luke,25,0,Male,1,Single,0
Reinhardt_Joseph,30,0,Male,1,Single,0
Spitzer_Augustus,30,0,Male,1,Single,0
Stanton_Charles_Tyler,35,0,Male,1,Single,0
